iter	Passed	Remaining
180	378	1712
181	379	1707
182	380	1700
183	382	1695
184	383	1688
185	384	1682
186	385	1677
187	387	1672
188	388	1666
189	389	1661
190	390	1655
191	392	1649
192	393	1644
193	394	1638
194	395	1632
195	396	1626
196	397	1622
197	399	1618
198	400	1613
199	401	1607
200	402	1601
201	404	1597
202	405	1593
203	407	1588
204	408	1583
205	409	1578
206	410	1574
207	412	1569
208	413	1565
209	414	1560
210	416	1556
211	417	1552
212	419	1548
213	420	1544
214	421	1539
215	423	1536
216	424	1532
217	425	1527
218	427	1523
219	428	1518
220	429	1515
221	431	1511
222	432	1507
223	433	1503
224	435	1498
225	436	1494
226	437	1490
227	439	1486
228	440	1482
229	441	1478
230	443	1474
231	444	1470
232	445	1466
233	446	1462
234	448	1458
235	449	1454
236	450	1450
237	451	1446
238	453	1442
239	454	1438
240	455	1434
241	456	1430
242	457	1426
243	459	1422
244	460	1419
245	461	1415
246	462	1411
247	464	1407
248	465	1402
249	466	1398
250	467	1395
251	468	1391
252	469	1387
253	471	1383
254	472	1379
255	473	1376
256	475	1374
257	476	1370
258	477	1366
259	478	1362
260	480	1359
261	481	1355
262	482	1352
263	483	1348
264	485	1345
265	486	1341
266	487	1338
267	488	1334
268	489	1330
269	490	1327
270	492	1323
271	493	1320
272	494	1316
273	495	1313
274	496	1309
275	498	1306
276	499	1303
277	500	1299
278	501	1296
279	502	1293
280	504	1289
281	505	1286
282	506	1283
283	507	1280
284	508	1276
285	510	1273
286	511	1270
287	512	1267
288	513	1264
289	515	1261
290	516	1258
291	517	1255
292	518	1251
293	520	1249
294	521	1245
295	522	1243
296	523	1240
297	525	1237
298	526	1233
299	527	1230
300	528	1227
301	529	1224
302	530	1221
303	531	1217
304	533	1214
305	534	1211
306	535	1208
307	536	1205
308	537	1202
309	539	1199
310	540	1197
311	541	1195
312	543	1192
313	544	1190
314	546	1187
315	547	1184
316	548	1182
317	549	1179
318	551	1176
319	552	1174
320	553	1171
321	555	1168
322	556	1165
323	557	1162
324	558	1160
325	560	1158
326	561	1155
327	562	1153
328	564	1150
329	565	1148
330	567	1146
331	568	1143
332	569	1140
333	570	1138
334	572	1135
335	573	1133
336	574	1130
337	575	1127
338	576	1124
339	578	1122
340	579	1120
341	580	1117
342	582	1115
343	583	1112
344	585	1110
345	586	1108
346	587	1105
347	588	1103
348	590	1100
349	591	1098
350	593	1096
351	594	1093
352	595	1091
353	596	1088
354	598	1087
355	599	1084
356	601	1082
357	602	1080
358	604	1078
359	605	1076
360	606	1074
361	608	1071
362	609	1069
363	611	1068
364	612	1065
365	613	1063
366	615	1060
367	616	1058
368	617	1056
369	619	1054
370	620	1051
371	621	1049
372	622	1046
373	624	1044
374	625	1042
375	626	1039
376	627	1037
377	629	1035
378	630	1033
379	631	1030
380	633	1028
381	634	1027
382	636	1025
383	637	1023
384	639	1020
385	640	1018
386	642	1016
387	643	1014
388	644	1012
389	645	1009
390	647	1008
391	648	1005
392	649	1003
393	650	1001
394	652	998
395	653	996
396	654	994
397	656	992
398	657	990
399	658	988
400	660	986
401	661	983
402	662	981
403	663	979
404	665	977
405	666	975
406	668	973
407	669	972
408	671	970
409	673	968
410	674	967
411	675	964
412	677	962
413	678	960
414	680	959
415	681	956
416	682	954
417	684	952
418	685	950
419	686	948
420	688	946
421	689	944
422	691	942
423	692	940
424	694	939
425	695	937
426	696	935
427	698	933
428	699	931
429	701	929
430	702	927
431	703	925
432	705	923
433	706	921
434	707	919
435	708	916
436	710	914
437	711	912
438	712	910
439	714	908
440	715	906
441	717	905
442	718	903
443	719	901
444	721	899
445	723	898
446	724	896
447	725	894
448	726	891
449	728	889
450	729	887
451	730	885
452	731	883
453	732	881
454	734	879
455	735	877
456	736	875
457	737	873
458	739	871
459	740	869
460	741	867
461	743	865
462	744	863
463	745	861
464	747	859
